ticker,setup_state,score,last_close,resistance,breakout_pct,breakout_days_ago,pivot_touch_count,resistance_flatness_pct,low_slope_pct_per_day,swing_low_count,ascending_triangle,bb_width_pctile,min_bb_width_pctile_20d,squeeze_recent,breakout_volume_ratio,volume_confirmed,last_complete_week_return_pct,close_vs_52w_high_pct,above_sma50,above_sma200,avg_dollar_volume_20d_m,notes
MLPA,fresh_breakout,94.0,57.5,53.67,7.14,9.0,4,1.88,0.0537,6,True,16.3,13.5,True,0.52,False,0.65,-0.86,True,True,8.95,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility squeeze; fresh breakout; breakout lacks volume confirmation; near/new 52-week high
IYF,fresh_breakout,93.0,134.91,130.63,3.27,9.0,4,2.58,0.0166,10,True,19.8,0.4,True,3.66,True,0.5,-3.01,False,True,49.05,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility squeeze; fresh breakout; breakout volume expansion; below SMA50
EWJ,fresh_breakout,91.0,96.44,93.76,2.86,9.0,5,3.25,0.046,10,True,29.0,18.3,True,0.39,False,2.51,-2.38,True,True,351.64,5 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility compression; fresh breakout; breakout lacks volume confirmation; healthy last complete week momentum
VEA,testing_resistance,91.0,71.92,71.94,-0.03,9.0,5,4.58,0.0468,7,True,4.4,0.8,True,0.83,False,0.96,-2.86,True,True,672.1,5 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility squeeze; testing resistance before breakout
VWO,testing_resistance,91.0,59.94,60.65,-1.17,9.0,7,4.12,0.0664,11,True,7.1,0.4,True,0.6,False,1.07,-2.6,True,True,353.37,7 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility squeeze; testing resistance before breakout
AMLP,fresh_breakout,90.0,55.75,52.23,6.75,9.0,3,0.32,0.0662,5,True,18.7,6.0,True,0.64,False,0.87,-1.21,True,True,64.7,3 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility squeeze; fresh breakout; breakout lacks volume confirmation; near/new 52-week high
DGRW,fresh_breakout,87.0,97.98,97.15,0.86,9.0,4,1.23,0.0125,3,True,6.3,2.0,True,0.76,False,0.42,-2.54,True,True,42.39,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility squeeze; fresh breakout; breakout lacks volume confirmation
IAI,fresh_breakout,85.0,189.77,183.37,3.49,9.0,4,3.49,0.0413,10,True,35.3,7.9,True,1.53,True,0.68,-4.2,False,True,15.36,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; fresh breakout; breakout volume expansion; below SMA50
IWD,fresh_breakout,83.0,253.33,249.26,1.63,9.0,3,2.0,0.0758,12,True,9.9,0.4,True,0.49,False,-0.27,-2.64,True,True,386.76,3 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility squeeze; fresh breakout; breakout lacks volume confirmation
EFA,fresh_breakout,81.0,105.66,104.29,1.31,9.0,5,1.84,0.0435,9,True,8.7,0.4,True,0.49,False,0.58,-2.97,False,True,1000.98,5 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility squeeze; fresh breakout; breakout lacks volume confirmation; below SMA50
